matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct
wc2002-tunisia-belgium,2002-06-10,2002,GROUP_STAGE,Tunisia,Belgium,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-portugal-poland,2002-06-10,2002,GROUP_STAGE,Portugal,Poland,HOME,4,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-denmark-france,2002-06-11,2002,GROUP_STAGE,Denmark,France,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-senegal-uruguay,2002-06-11,2002,GROUP_STAGE,Senegal,Uruguay,DRAW,3,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-saudi-arabia-republic-of-ireland,2002-06-11,2002,GROUP_STAGE,Saudi Arabia,Republic of Ireland,AWAY,0,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-cameroon-germany,2002-06-11,2002,GROUP_STAGE,Cameroon,Germany,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-sweden-argentina,2002-06-12,2002,GROUP_STAGE,Sweden,Argentina,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-nigeria-england,2002-06-12,2002,GROUP_STAGE,Nigeria,England,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-south-africa-spain,2002-06-12,2002,GROUP_STAGE,South Africa,Spain,AWAY,2,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-slovenia-paraguay,2002-06-12,2002,GROUP_STAGE,Slovenia,Paraguay,AWAY,1,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-costa-rica-brazil,2002-06-13,2002,GROUP_STAGE,Costa Rica,Brazil,AWAY,2,5,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-t-rkiye-china-pr,2002-06-13,2002,GROUP_STAGE,Türkiye,China PR,HOME,3,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-mexico-italy,2002-06-13,2002,GROUP_STAGE,Mexico,Italy,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-ecuador-croatia,2002-06-13,2002,GROUP_STAGE,Ecuador,Croatia,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-tunisia-japan,2002-06-14,2002,GROUP_STAGE,Tunisia,Japan,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-belgium-russia,2002-06-14,2002,GROUP_STAGE,Belgium,Russia,HOME,3,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
