matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-south-africa-south-korea,2026-06-24,2026,Group A,South Africa,South Korea,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.4818,0.214,0.3042,3.54,1.76,0.4818,1,0.4438,0.2368,0.3194,2.88,1.64,0.4438,1
wc2026-bosnia-and-herzegovina-qatar,2026-06-24,2026,Group B,Bosnia & Herzegovina,Qatar,HOME,3,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.4838,0.2016,0.3146,3.61,1.39,0.4838,1,0.4452,0.2281,0.3267,2.93,1.38,0.4452,1
wc2026-canada-switzerland,2026-06-24,2026,Group B,Canada,Switzerland,AWAY,1,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.391,0.2558,0.3532,2.39,1.54,0.391,0,0.3802,0.2661,0.3537,2.08,1.48,0.3802,0
wc2026-morocco-haiti,2026-06-24,2026,Group C,Morocco,Haiti,HOME,4,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.7866,0.1326,0.0808,3.35,0.88,0.7866,1,0.6571,0.1798,0.163,2.75,1.02,0.6571,1
wc2026-scotland-brazil,2026-06-24,2026,Group C,Scotland,Brazil,AWAY,0,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.2569,0.2226,0.5205,1.51,1.77,0.5205,1,0.2864,0.2428,0.4708,1.46,1.64,0.4708,1
wc2026-paraguay-australia,2026-06-25,2026,Group D,Paraguay,Australia,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4024,0.2596,0.338,2.21,1.52,0.4024,0,0.3882,0.2687,0.343,1.95,1.47,0.3882,0
wc2026-usa-turkey,2026-06-25,2026,Group D,USA,Turkey,AWAY,2,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4947,0.2451,0.2602,2.68,1.6,0.4947,0,0.4528,0.2586,0.2886,2.28,1.52,0.4528,0
wc2026-curacao-ivory-coast,2026-06-25,2026,Group E,Curaçao,Ivory Coast,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4818,0.214,0.3042,3.54,1.76,0.4818,0,0.4438,0.2368,0.3194,2.88,1.64,0.4438,0
wc2026-ecuador-germany,2026-06-25,2026,Group E,Ecuador,Germany,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.3371,0.2395,0.4234,2.01,1.63,0.4234,0,0.3425,0.2547,0.4028,1.81,1.55,0.4028,0
wc2026-japan-sweden,2026-06-25,2026,Group F,Japan,Sweden,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.5961,0.2451,0.1588,2.61,1.1,0.5961,0,0.5238,0.2586,0.2176,2.23,1.17,0.5238,0
wc2026-tunisia-netherlands,2026-06-25,2026,Group F,Tunisia,Netherlands,AWAY,1,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.2471,0.2264,0.5265,1.54,1.83,0.5265,1,0.2795,0.2455,0.475,1.48,1.69,0.475,1
wc2026-egypt-iran,2026-06-26,2026,Group G,Egypt,Iran,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4205,0.2497,0.3298,2.63,1.5,0.4205,0,0.4009,0.2618,0.3373,2.25,1.45,0.4009,0
wc2026-new-zealand-belgium,2026-06-26,2026,Group G,New Zealand,Belgium,AWAY,1,5,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4302,0.2099,0.3599,3.6,1.62,0.4302,0,0.4077,0.2339,0.3584,2.93,1.54,0.4077,0
wc2026-cape-verde-saudi-arabia,2026-06-26,2026,Group H,Cape Verde,Saudi Arabia,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4818,0.214,0.3042,3.54,1.76,0.4818,0,0.4438,0.2368,0.3194,2.88,1.64,0.4438,0
wc2026-uruguay-spain,2026-06-26,2026,Group H,Uruguay,Spain,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.3138,0.2757,0.4105,1.87,1.65,0.4105,1,0.3262,0.28,0.3938,1.71,1.56,0.3938,1
