matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,eloDiff,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-portugal-uzbekistan,2026-06-23,2026,Group K,Portugal,Uzbekistan,HOME,5,0,353,0.7703,0.1761,0.0536,2.23,0.47,0.7703,1,0.7074,0.1791,0.1135,2.63,0.8,0.7074,1,0.7263,0.1782,0.0955,2.51,0.7,0.7263,1
wc2026-england-ghana,2026-06-23,2026,Group L,England,Ghana,DRAW,0,0,325,0.7402,0.1916,0.0682,2.16,0.54,0.7402,0,0.7768,0.1398,0.0834,3.14,0.79,0.7768,0,0.7658,0.1553,0.0788,2.85,0.71,0.7658,0
wc2026-panama-croatia,2026-06-23,2026,Group L,Panama,Croatia,AWAY,0,1,-253,0.1136,0.2277,0.6587,0.72,1.98,0.6587,1,0.3187,0.2153,0.466,2.23,1.98,0.466,1,0.2572,0.219,0.5238,1.78,1.98,0.5238,1
wc2026-mexico-czech-republic,2026-06-24,2026,Group A,Mexico,Czech Republic,HOME,3,0,263,0.6706,0.223,0.1064,2.01,0.69,0.6706,1,0.5057,0.2473,0.247,2.91,1.61,0.5057,1,0.5552,0.24,0.2048,2.64,1.33,0.5552,1
wc2026-south-africa-south-korea,2026-06-24,2026,Group A,South Africa,South Korea,HOME,1,0,-138,0.2086,0.2704,0.5209,1,1.7,0.5209,0,0.4806,0.2165,0.3029,3.54,1.76,0.4806,1,0.399,0.2327,0.3683,2.78,1.74,0.399,1
wc2026-bosnia-and-herzegovina-qatar,2026-06-24,2026,Group B,Bosnia & Herzegovina,Qatar,HOME,3,1,37,0.398,0.2886,0.3134,1.44,1.26,0.398,1,0.4825,0.2043,0.3132,3.61,1.39,0.4825,1,0.4572,0.2296,0.3133,2.96,1.35,0.4572,1
wc2026-canada-switzerland,2026-06-24,2026,Group B,Canada,Switzerland,AWAY,1,2,-98,0.2481,0.2801,0.4718,1.1,1.6,0.4718,1,0.3882,0.2614,0.3504,2.39,1.54,0.3882,0,0.3462,0.267,0.3868,2,1.56,0.3868,1
wc2026-morocco-haiti,2026-06-24,2026,Group C,Morocco,Haiti,HOME,4,2,375,0.7925,0.1638,0.0436,2.29,0.41,0.7925,1,0.7849,0.136,0.0791,3.35,0.88,0.7849,1,0.7872,0.1443,0.0685,3.03,0.74,0.7872,1
wc2026-scotland-brazil,2026-06-24,2026,Group C,Scotland,Brazil,AWAY,0,3,-313,0.0748,0.1978,0.7273,0.57,2.13,0.7273,1,0.253,0.2304,0.5166,1.51,1.77,0.5166,1,0.1995,0.2206,0.5798,1.23,1.88,0.5798,1
wc2026-paraguay-australia,2026-06-25,2026,Group D,Paraguay,Australia,DRAW,0,0,-42,0.3073,0.2882,0.4045,1.24,1.46,0.4045,0,0.3992,0.2659,0.3349,2.21,1.52,0.3992,0,0.3716,0.2726,0.3558,1.92,1.5,0.3716,0
wc2026-usa-turkey,2026-06-25,2026,Group D,USA,Turkey,AWAY,2,3,117,0.4956,0.2758,0.2286,1.64,1.06,0.4956,0,0.4924,0.2498,0.2578,2.68,1.6,0.4924,0,0.4934,0.2576,0.249,2.37,1.44,0.4934,0
wc2026-curacao-ivory-coast,2026-06-25,2026,Group E,Curaçao,Ivory Coast,AWAY,0,2,-195,0.1578,0.2517,0.5905,0.86,1.84,0.5905,1,0.4806,0.2165,0.3029,3.54,1.76,0.4806,0,0.3838,0.2271,0.3892,2.74,1.78,0.3892,1
wc2026-ecuador-germany,2026-06-25,2026,Group E,Ecuador,Germany,HOME,2,1,-103,0.243,0.279,0.478,1.09,1.61,0.478,0,0.3338,0.2462,0.42,2.01,1.63,0.42,0,0.3066,0.256,0.4374,1.73,1.62,0.4374,0
wc2026-japan-sweden,2026-06-25,2026,Group F,Japan,Sweden,DRAW,1,1,66,0.4332,0.2854,0.2813,1.52,1.18,0.4332,0,0.5934,0.2506,0.156,2.61,1.1,0.5934,0,0.5453,0.261,0.1936,2.28,1.13,0.5453,0
wc2026-tunisia-netherlands,2026-06-25,2026,Group F,Tunisia,Netherlands,AWAY,1,3,-261,0.1077,0.2238,0.6686,0.7,2,0.6686,1,0.2433,0.2339,0.5228,1.54,1.83,0.5228,1,0.2026,0.2309,0.5665,1.29,1.88,0.5665,1
wc2026-egypt-iran,2026-06-26,2026,Group G,Egypt,Iran,DRAW,1,1,-24,0.3279,0.2894,0.3826,1.29,1.41,0.3826,0,0.418,0.2547,0.3273,2.63,1.5,0.418,0,0.391,0.2651,0.3439,2.23,1.47,0.391,0
wc2026-new-zealand-belgium,2026-06-26,2026,Group G,New Zealand,Belgium,AWAY,1,5,-309,0.0774,0.2001,0.7225,0.58,2.12,0.7225,1,0.4289,0.2124,0.3587,3.6,1.62,0.4289,0,0.3235,0.2087,0.4678,2.69,1.77,0.4678,1
wc2026-cape-verde-saudi-arabia,2026-06-26,2026,Group H,Cape Verde,Saudi Arabia,DRAW,0,0,-35,0.316,0.2888,0.3953,1.26,1.44,0.3953,0,0.4806,0.2165,0.3029,3.54,1.76,0.4806,0,0.4312,0.2382,0.3306,2.86,1.66,0.4312,0
wc2026-uruguay-spain,2026-06-26,2026,Group H,Uruguay,Spain,AWAY,0,1,-216,0.1409,0.2435,0.6156,0.81,1.89,0.6156,1,0.3102,0.2828,0.407,1.87,1.65,0.407,1,0.2594,0.271,0.4696,1.55,1.72,0.4696,1
wc2026-norway-france,2026-06-26,2026,Group I,Norway,France,AWAY,1,4,-138,0.2092,0.2706,0.5202,1.01,1.69,0.5202,1,0.2618,0.2228,0.5154,1.61,1.49,0.5154,1,0.246,0.2371,0.5168,1.43,1.55,0.5168,1
wc2026-senegal-iraq,2026-06-26,2026,Group I,Senegal,Iraq,HOME,5,0,223,0.6239,0.2406,0.1354,1.91,0.79,0.6239,1,0.6924,0.1917,0.1159,2.57,0.89,0.6924,1,0.6719,0.2064,0.1218,2.37,0.86,0.6719,1
wc2026-algeria-austria,2026-06-27,2026,Group J,Algeria,Austria,DRAW,3,3,-22,0.33,0.2895,0.3805,1.3,1.41,0.3805,0,0.4356,0.2451,0.3193,2.63,1.5,0.4356,0,0.4039,0.2584,0.3377,2.23,1.47,0.4039,0
